GRB	Redshift
060206	4.045 (NOT: absorption)|4.048 (Lick: absorption)|4.05 (Subaru: absorption)
060124	2.30 (MDM: absorption)|2.297 (Keck/ESI: absorption)|2.296 (Keck/LRIS: absorption)
060123	1.099 (probable, Gemini: emission)
060116	~4.0 or ~6.6 (VLT: photometric)
060115	3.53 (VLT: absoprtion)
060108	2.03 (Liverpool: photometric)
051221A	0.547 (Gemini: emission)
051117B	0.481 (TOUGH: emission)
051111	1.549 (Keck: absorption)
051109B	0.080 (Keck I: emission)
051109A	2.346 (HET: absorption)
051016B	0.9364 (Keck: emission)
051006	1.059 (TOUGH: emission)
051001	2.4296 (TOUGH: emission)
050922C	2.198 (NOT: absorption)|2.198 (TNG: absorption)|2.199 (VLT: absorption)
050915A	2.5273 (TOUGH: emission)
050908	3.350 (VLT: absorption)|3.3437 (GMOS: absorption)|3.3440 (Keck: absorption)
050904	6 < z < 8 (SOAR, UNC: photometric)|6.10 (VLT: photometric)|6.29 (Subaru: absorption)
050826	0.297 (MDM: emission from host)
050824	0.83 (VLT: emission)
050820A	2.612 (Keck: absorption)|2.6147 (VLT: absorption)
050819	2.5043 (TOUGH: emission)
050814	5.3 (NOT: photometric)
050813	1.8
050803	possible redshift:|0.422 (Keck: emission)
050802	1.71 (NOT: absorption)|1.434 (TOUGH: emission)
050730	3.96855 (Magellan II: absorption)|3.97 (WHT: absorption)|3.968 (VLT: absorption)
050724	0.257 (GMOS: absorption)|0.258 (Keck: absorption)
050525A	0.606 (GMOS: emission)
050509B	0.225 (Keck: absorption)
050505	4.27 (Keck: absorption)
050416A	0.6535 (Keck: emission)
050406	2.44 (UVOT: photometric)
050401	2.9 (VLT: absorption)
050319	3.24 (NOT: absorption)
050318	1.44 (Magellan: absorption)
050315	1.949 (Magellan: absorption)
050223	0.5915 (Magellan: emission from host)|0.584 (VLT: emission from host)
050126	1.29 (Keck: emission)
